,Relative error mean Counts,Relative error std Counts,Relative error mean Flows,Relative error std Flows,Relative error mean Speeds,Relative error std Speeds,Relative error mean Densities,Relative error std Densities,Cummulative error mean Counts,Cummulative error absolute Counts,Cummulative error mean Flows,Cummulative error absolute Flows,Cummulative error mean Speeds,Cummulative error absolute Speeds,Cummulative error mean Densities,Cummulative error absolute Densities,Absolute error mean Counts,Absolute error std Counts,Absolute error mean Flows,Absolute error std Flows,Absolute error mean Speeds,Absolute error std Speeds,Absolute error mean Densities,Absolute error std Densities
sort-vel-7,40.870153955951174,19.046784573757204,40.870153955951174,19.046784573757204,17.428280062937194,22.381994138025906,38.49473718625269,21.05042772390297,141.0,37.40053050397878,12690.0,37.40053050397878,396.2367186973249,10.40394177630659,96375.97494490382,30.38497505950681,7.05,3.2011716605018234,634.5,288.1054494451641,19.811835934866245,24.807352026855586,4818.798747245191,2122.6964216612614
sort-vel-8,32.735977618872354,13.795740478710915,32.735977618872354,13.795740478710915,12.09168523897631,9.892183266778758,26.664528705877775,16.10799254977395,118.0,31.29973474801061,10620.0,31.29973474801061,273.79200906552285,8.01432869178046,66855.56729644272,20.920935251780815,5.9,2.947880594596735,531.0,265.30925351370615,13.689600453276142,10.24674169434625,3342.778364822136,1775.6003262168647
sort-vel-9,26.674440488991575,11.981747933790736,26.674440488991575,11.981747933790736,12.03917555855128,9.063865036667732,24.645141501321728,12.034386172029974,96.0,24.93368700265252,8640.0,24.93368700265252,292.9311470953996,6.7463228134474775,66899.91596419214,16.73856833833173,4.8,2.749545416973504,432.0,247.45908752761537,14.646557354769978,11.993119936656505,3344.995798209607,1838.9415343743615
sort-vel-10,35.17435452404492,13.174762873119892,35.17435452404492,13.174762873119892,16.044557065919218,15.807414286527987,36.429656416722565,22.637265060283422,129.0,34.217506631299734,11610.0,34.217506631299734,389.7206796117977,9.11256778386406,96867.95789676646,24.779979504442544,6.45,3.2011716605018234,580.5,288.1054494451641,19.486033980589887,21.286473095289807,4843.397894838323,2743.216323566135
sort-vel-11,21.65819170509573,11.548550940397648,21.65819170509573,11.548550940397648,11.999585173227441,9.388336407619443,19.244493354184527,11.91890571677103,76.0,20.159151193633953,6840.0,20.159151193633953,283.87064355713983,7.619060939014707,49634.21212354513,11.509799404153737,3.8,2.1587033144922905,342.0,194.28329830430613,14.19353217785699,10.337891086791382,2481.7106061772565,1493.913478357686
sort-acc-7,45.65786871796934,22.278210915178132,45.65786871796934,22.278210915178132,18.30904850976529,23.19471294185147,42.515952508046745,23.597871146910602,159.0,42.175066312997345,14310.0,42.175066312997345,431.1122949043982,12.442476243484721,107991.55542706365,34.723837624843966,7.95,4.212778180725873,715.5,379.1500362653286,21.55561474521991,25.68459093875735,5399.5777713531825,2754.8363405629593
sort-acc-8,37.09145775964661,18.44827112465986,37.09145775964661,18.44827112465986,13.05527712099157,13.174749695035358,32.950301149114495,18.830702517216764,139.0,36.87002652519894,12510.0,36.87002652519894,333.12521020864006,6.766940167123328,87814.63932488767,30.578082454082452,6.95,4.598641103630506,625.5,413.8776993267456,16.656260510432002,20.109600049739573,4390.731966244383,2803.303053569077
sort-acc-9,31.829622888291617,16.896872851911215,31.829622888291617,16.896872851911215,12.60990842380457,12.965615818431534,27.010435090610592,14.31562691488851,119.0,31.56498673740053,10710.0,31.56498673740053,337.0695753944196,8.819100006127474,71614.77545089784,24.523407388026094,5.95,4.116734142496938,535.5,370.5060728247244,16.85347876972098,21.008825187650945,3580.738772544892,2108.6696569525047
sort-acc-10,44.29389059512899,15.471414690787757,44.29389059512899,15.471414690787757,16.136423688494414,16.799293565830254,39.33687761737313,16.01074571150714,165.0,43.76657824933687,14850.0,43.76657824933687,401.85732353494274,9.307638696030656,109985.24642853267,36.55985546817299,8.25,4.252940159466155,742.5,382.7646143519539,20.092866176747137,23.352319554442825,5499.262321426633,2771.2266567331867
sort-acc-11,28.823442033542655,16.409926177110815,28.823442033542655,16.409926177110815,14.079631890089189,13.980207586467312,29.48321949348617,16.198710385452483,108.0,28.116710875331567,9720.0,28.116710875331567,337.80024396159814,9.848293812206924,80554.0171552386,16.471796108357687,5.4,3.903844259188627,486.0,351.3459833269764,16.89001219807991,18.605038521213984,4027.70085776193,2482.535361003908
sort-adp-7,45.39389723193903,22.09853745631143,45.39389723193903,22.09853745631143,20.457331865910465,24.38345073445135,42.4911438561796,21.710906303410717,159.0,42.175066312997345,14310.0,42.175066312997345,491.6736617020748,14.96284056072077,107911.40758244638,33.97115457462101,7.95,4.2127781807258735,715.5,379.1500362653286,24.58368308510374,28.92070555419876,5395.570379122319,2360.9697114662977
sort-adp-8,35.045371248118926,18.024353597383524,35.045371248118926,18.024353597383524,12.232598714733587,10.269522695379283,31.223945284505042,19.25046015994597,132.0,35.0132625994695,11880.0,35.0132625994695,294.4803542233658,5.9658343409699235,83482.63179138988,27.80305835293103,6.6,4.521061822182927,594.0,406.89556399646335,14.72401771116829,12.844083787231707,4174.131589569494,2907.9039280289553
sort-adp-9,32.488314630845586,16.34505628445525,32.488314630845586,16.34505628445525,13.09925845224214,10.608974991818148,28.168381549949963,16.649944814885327,121.0,32.09549071618037,10890.0,32.09549071618037,335.1256079854743,8.966578960059653,73319.77988435519,23.761995465975932,6.05,3.993432107849087,544.5,359.4088897064178,16.756280399273713,17.1073049959062,3665.9889942177592,2473.6424058920297
sort-adp-10,45.35690513906459,15.463066844103917,45.35690513906459,15.463066844103917,18.437065419382424,19.17932339216437,38.989070862490834,17.86546359801634,170.0,45.09283819628647,15300.0,45.09283819628647,466.36575611926946,13.874829467844474,108814.15050774385,33.017736449540116,8.5,4.398863489584555,765.0,395.89771406260985,23.31828780596347,26.8504378469614,5440.707525387193,3057.8499832044135
