,Relative error mean Counts,Relative error std Counts,Relative error mean Flows,Relative error std Flows,Relative error mean Speeds,Relative error std Speeds,Relative error mean Densities,Relative error std Densities,Cummulative error mean Counts,Cummulative error absolute Counts,Cummulative error mean Flows,Cummulative error absolute Flows,Cummulative error mean Speeds,Cummulative error absolute Speeds,Cummulative error mean Densities,Cummulative error absolute Densities,Absolute error mean Counts,Absolute error std Counts,Absolute error mean Flows,Absolute error std Flows,Absolute error mean Speeds,Absolute error std Speeds,Absolute error mean Densities,Absolute error std Densities
sort-vel-7,40.46296048958088,23.273732759644695,40.46296048958088,23.273732759644695,20.134899722502915,22.579214882951995,30.721524761392722,25.680306870617976,145.0,38.25857519788918,13050.0,38.25857519788918,469.9445870087078,18.09170968834251,78326.31407370952,25.911559386697604,7.25,4.7315430886762515,652.5,425.8388779808626,23.49722935043539,25.14203756672209,3916.3157036854764,3178.973513920363
sort-vel-8,35.1677297499154,22.284852397023688,35.1677297499154,22.284852397023688,20.43034554225041,21.193907573741935,25.7810394958394,23.694375826775694,119.0,30.34300791556728,10710.0,30.34300791556728,481.2344573077605,19.75832549819772,62255.01338958545,16.568982174511802,5.95,3.800986713999406,535.5,342.0888042599465,24.061722865388028,24.01402576104246,3112.750669479273,2439.940224349351
sort-vel-9,34.95993903867918,22.011340616908956,34.95993903867918,22.011340616908956,21.379017055064484,23.072349435447226,29.34221154005187,26.588559214162675,124.0,32.71767810026385,11160.0,32.71767810026385,504.0684639074845,19.797441765701123,74541.7059530979,16.413166192297453,6.2,3.9698866482558417,558.0,357.2897983430257,25.203423195374224,25.773511569164654,3727.085297654895,3227.8384781425843
sort-vel-10,39.12094765898571,20.499980704393245,39.12094765898571,20.499980704393245,19.866402813053114,21.294867780954174,28.42624064648005,22.33090947199532,136.0,35.88390501319261,12240.0,35.88390501319261,474.9213089779286,19.26243678075613,71211.90874030715,24.588748660511943,6.8,3.7629775444453557,612.0,338.667979000082,23.74606544889643,24.496494536197538,3560.595437015357,2547.9707044296047
sort-vel-11,32.244437845741146,21.54437764238495,32.244437845741146,21.54437764238495,18.57291427943457,21.68870137367199,24.80166146507156,23.78473511377731,111.0,28.232189973614776,9990.0,28.232189973614776,431.2048918781351,15.433740575028189,61196.252985600055,17.231323642225913,5.55,3.800986713999406,499.5,342.0888042599465,21.560244593906752,24.467269857736753,3059.812649280003,2738.3893031378434
sort-acc-7,46.26873085773265,21.049246438586177,46.26873085773265,21.049246438586177,18.09997051676276,21.310793663550346,41.87034560738022,21.181345995148053,170.0,44.854881266490764,15300.0,44.854881266490764,421.7884214576731,14.440899351549884,111588.92558035436,36.09559393014593,8.5,4.944694126030447,765.0,445.0224713427402,21.089421072883656,24.651845969684363,5579.446279017719,3029.825083097009
sort-acc-8,40.9980708473368,16.539576003596384,40.9980708473368,16.539576003596384,14.699411196534436,17.804069976804307,37.91737439994871,16.618337123529383,157.0,40.36939313984169,14130.0,40.36939313984169,349.19385412949117,5.38911425710191,104505.6740637242,32.62858960829347,7.85,4.607331114647612,706.5,414.659800318285,17.45969270647456,20.9434325009206,5225.28370318621,2761.4225521618246
sort-acc-9,37.103227756131474,20.744137214046038,37.103227756131474,20.744137214046038,14.36438787329823,13.812349128939823,30.002868138445884,19.316862355150064,153.0,40.36939313984169,13770.0,40.36939313984169,355.3062065332798,13.507209395421174,90814.29669792506,29.106742659638527,7.65,5.160184105242759,688.5,464.4165694718482,17.76531032666399,18.321653893352458,4540.714834896253,3260.901280849583
sort-acc-10,44.960630698905945,16.172479102963962,44.960630698905945,16.172479102963962,13.159912994189458,10.265701120710082,40.442322212025736,15.633141777317284,171.0,45.11873350923483,15390.0,45.11873350923483,319.4192263404849,8.841029995935815,111784.55404489502,37.73759455951036,8.55,4.631144566951025,769.5,416.8030110255923,15.970961317024244,12.860889454499002,5589.227702244751,2633.378839006222
sort-acc-11,34.206992974013346,20.145692566040267,34.206992974013346,20.145692566040267,13.115548647677022,10.972539315614625,33.22634895085979,19.418377089616296,134.0,35.35620052770449,12060.0,35.35620052770449,317.7535086719312,6.629958405289221,92266.92294073565,27.818038749688746,6.7,5.1778373863998475,603.0,466.00536477598627,15.88767543359656,15.134730212830895,4613.346147036782,3081.5662795158228
sort-adp-7,46.29761922166297,18.853828694481056,46.29761922166297,18.853828694481056,16.45632469833435,21.349028135501154,40.234456739556386,20.683258576314152,169.0,44.5910290237467,15210.0,44.5910290237467,381.8085045392347,14.80735765390609,107520.31355579654,36.36855935358978,8.45,4.4212554778026565,760.5,397.91299300223915,19.090425226961734,24.333999578615995,5376.015677789827,2875.6690942640303
sort-adp-8,42.78868922060773,20.63815273765981,42.78868922060773,20.63815273765981,16.53197536473926,20.276976528260324,37.477765007220874,20.38715013527763,156.0,40.105540897097626,14040.0,40.105540897097626,387.990964030427,15.499997589804646,99816.1039339399,30.717880698444148,7.8,4.478839135311738,702.0,403.09552217805646,19.39954820152135,22.854950696339102,4990.805196696995,2677.9738421491857
sort-adp-9,38.59847619839131,19.89415993537944,38.59847619839131,19.89415993537944,16.544291238702982,14.87154378409424,31.32358511411321,18.520043623369414,158.0,41.68865435356201,14220.0,41.68865435356201,403.44533060000174,14.247339800214352,95347.02709519,29.491919607678703,7.9,4.87749935930288,711.0,438.97494233725917,20.172266530000087,18.955544972219357,4767.3513547595,3267.5722563290306
sort-adp-10,43.75142046940709,15.204807630181227,43.75142046940709,15.204807630181227,13.226790870582287,11.458950601377323,37.74358085255441,16.57751971631759,166.0,43.79947229551451,14940.0,43.79947229551451,322.30113418244963,9.362460815246965,104800.43429899558,36.18652531682417,8.3,4.484417464955733,747.0,403.59757184601597,16.11505670912248,14.398610834598195,5240.0217149497785,2846.53801889578
sort-adp-11,35.81214280049544,20.595218326699648,35.81214280049544,20.595218326699648,13.300668818801842,9.708958781553955,35.6343597826571,19.81259510539888,140.0,36.93931398416886,12600.0,36.93931398416886,311.493119105614,6.266795073928002,98567.32720132338,28.36862416474674,7.0,5.282045058497703,630.0,475.38405526479323,15.5746559552807,10.928294603960156,4928.366360066169,3078.3343359857563
idm-tracker-7,17.552550340900485,13.075818976959237,17.552550340900485,13.075818976959237,14.183101904185587,24.171232703854148,22.301335702445094,21.55440374403532,58.0,14.775725593667547,5220.0,14.775725593667547,325.3609710707937,3.0318062133898342,51859.22389273077,15.466247985705412,2.9,2.071231517720798,261.0,186.41083659487182,16.268048553539685,26.78590411730434,2592.9611946365385,1861.1073302620337
idm-tracker-8,13.622671611099156,10.303523055578626,13.622671611099156,10.303523055578626,10.660578710649835,10.133991459051245,17.08093688528225,15.401008434113965,43.0,9.234828496042216,3870.0,9.234828496042216,242.54210131331067,2.9245393901548074,41501.81689000541,8.374546603950693,2.15,1.1521718621802912,193.5,103.69546759622621,12.127105065665534,11.267772703489236,2075.0908445002706,1563.76243547143
idm-tracker-9,12.718563405867412,13.455886410653205,12.718563405867412,13.455886410653205,7.473056487333656,7.4824050386452985,13.791327839400855,12.951249666194716,41.0,10.817941952506596,3690.0,10.817941952506596,176.7057152964368,4.009397118067967,31940.056656214565,6.177752824858804,2.05,2.03654118544163,184.5,183.2887066897467,8.83528576482184,8.988689674762899,1597.0028328107283,1185.9149119581828
idm-tracker-10,15.25829513956199,11.1533836291819,15.25829513956199,11.1533836291819,9.156636713345764,10.102605528714836,18.02178906778781,14.233885912382481,51.0,12.928759894459104,4590.0,12.928759894459104,215.93757144313292,3.40394247720441,43211.41519429591,12.821888146837878,2.55,1.7168284713389397,229.5,154.51456242050455,10.796878572156647,11.536914388320506,2160.5707597147953,1391.3622641612294
idm-tracker-11,9.891239527974275,10.334231380278013,9.891239527974275,10.334231380278013,10.445705354798903,8.77425256139214,15.873381124489555,15.34436945330596,29.0,3.9577836411609497,2610.0,3.9577836411609497,243.50608110509114,3.1869848396303224,35959.3686893789,3.76560654029662,1.45,0.9205976319760986,130.5,82.85378687784886,12.175304055254557,10.73037312964788,1797.968434468945,1516.9599775500049
ByteTrack-7,42.093451937389815,24.114312494564377,42.093451937389815,24.114312494564377,28.76846843372701,22.581485932094473,30.150212176699267,22.945496916897664,151.0,39.84168865435356,13590.0,39.84168865435356,690.9236467517713,29.407075642078226,74700.6226271796,16.236719005514743,7.55,4.521891197275759,679.5,406.9702077548183,34.54618233758857,28.990934043438767,3735.03113135898,2380.8257583558516
ByteTrack-8,35.38057154764186,20.050788531430758,35.38057154764186,20.050788531430758,25.80691388710732,21.158689619149953,23.278603247118646,21.52519591111461,127.0,32.45382585751979,11430.0,32.45382585751979,612.8661503277358,26.08479435591238,58228.1902182524,12.101005022662779,6.35,3.6915443922564446,571.5,332.23899530308,30.64330751638679,24.231851857642557,2911.40951091262,2208.3499237289107
ByteTrack-9,23.004135694747898,14.084265324634902,23.004135694747898,14.084265324634902,23.805366375958567,14.367110027276835,14.592660513927262,11.2601974177598,94.0,24.274406332453825,8460.0,24.274406332453825,578.6809861642844,24.293360041825583,42495.04215535708,1.344881664110407,4.7,3.179622619116929,423.0,286.1660357205236,28.93404930821422,18.764476355940257,2124.752107767854,1654.8275875807285
ByteTrack-10,34.16341348903767,16.764474229886044,34.16341348903767,16.764474229886044,22.03974684681849,9.411729411248826,20.61266414743754,14.09275562374508,128.0,33.773087071240106,11520.0,33.773087071240106,529.6651017437878,22.543593326376016,56252.83985269963,14.278392220429863,6.4,4.004996878900157,576.0,360.4497191010141,26.483255087189388,12.697384379757468,2812.6419926349818,2256.9009090063682
