,Relative error mean Counts,Relative error std Counts,Relative error mean Flows,Relative error std Flows,Relative error mean Speeds,Relative error std Speeds,Relative error mean Densities,Relative error std Densities,Cummulative error mean Counts,Cummulative error absolute Counts,Cummulative error mean Flows,Cummulative error absolute Flows,Cummulative error mean Speeds,Cummulative error absolute Speeds,Cummulative error mean Densities,Cummulative error absolute Densities,Absolute error mean Counts,Absolute error std Counts,Absolute error mean Flows,Absolute error std Flows,Absolute error mean Speeds,Absolute error std Speeds,Absolute error mean Densities,Absolute error std Densities
sort-vel-7,52.64699564162015,27.40750280773188,52.64699564162015,27.40750280773188,24.75413623717233,35.70395176887246,52.8809198141656,28.634136975330673,178.0,50.712250712250714,16020.0,50.712250712250714,497.72741074710245,18.12398307002844,124802.22750673632,43.78410747554351,8.9,6.163602842493991,801.0,554.7242558244592,24.886370537355123,35.44899070837728,6240.111375336816,3901.476114625255
sort-vel-8,54.26170951982044,27.77243367041489,54.26170951982044,27.77243367041489,24.753952705918074,38.37136245934277,53.89105973221094,29.398068782738193,181.0,51.566951566951566,16290.0,51.566951566951566,494.68159225899075,19.454473814695614,127608.52213979917,50.83100508730233,9.05,5.903177110675234,814.5,531.285939960771,24.734079612949536,39.305719014965895,6380.4261069899585,4034.934250788963
sort-vel-9,51.27565979056419,27.28509643455361,51.27565979056419,27.28509643455361,25.208320318213843,35.90295349008715,58.57836188565771,49.68364606644196,171.0,48.717948717948715,15390.0,48.717948717948715,508.35433764404087,20.817203987309618,130262.82648666881,36.183818099861035,8.55,5.7399912891919955,769.5,516.5992160272797,25.417716882202043,35.76098968385056,6513.141324333441,4693.996561375415
sort-vel-10,51.27017742899786,27.992917984666505,51.27017742899786,27.992917984666505,23.134362678382068,35.428993545151776,47.361636715660886,27.84338423020818,167.0,47.578347578347575,15030.0,47.578347578347575,457.54191038476404,18.322389385123707,110286.21628473952,43.930915639689125,8.35,5.5970974620780005,751.5,503.7387715870201,22.877095519238203,34.789796582139104,5514.3108142369765,3735.394971563089
sort-vel-11,51.04319382079571,28.101775879750264,51.04319382079571,28.101775879750264,23.127680053693613,35.20520032733241,45.88145860992374,30.476580290282392,168.0,47.863247863247864,15120.0,47.863247863247864,457.6296634566919,18.696952560366643,106752.36200127029,42.049181603734894,8.4,5.71314274283428,756.0,514.1828468550852,22.881483172834596,34.36222769004352,5337.618100063514,3868.48436769526
sort-acc-7,59.37187613867034,27.298603695008385,59.37187613867034,27.298603695008385,23.86910667100818,34.7619617032978,58.19253297725917,27.53080970249835,202.0,57.54985754985755,18180.0,57.54985754985755,482.5802217056315,11.397645827497556,141874.685428344,56.513724442847156,10.1,6.236184731067546,909.0,561.2566257960791,24.129011085281576,34.45235034289565,7093.7342714172,4283.112777210499
sort-acc-8,62.54820465281906,27.329042026392187,62.54820465281906,27.329042026392187,24.91927909834248,36.11029176844328,59.32749305608873,29.221214585423546,213.0,60.68376068376068,19170.0,60.68376068376068,511.9029890271836,12.387490051849051,146901.63691250302,58.51613770005089,10.65,6.295037728242778,958.5,566.55339554185,25.59514945135918,37.12820366674223,7345.081845625151,4594.663186301317
sort-acc-9,56.50203531635293,26.17773743855018,56.50203531635293,26.17773743855018,23.2865028825715,37.147385737669424,72.79316778788676,74.57480120393274,194.0,55.27065527065527,17460.0,55.27065527065527,454.7595819631856,16.402567886332083,165112.71082325568,40.97154127956334,9.7,6.132699242584786,873.0,551.9429318326307,22.73797909815928,37.259281932862876,8255.635541162785,6688.83661723533
sort-acc-10,56.88973507843392,27.672009101115094,56.88973507843392,27.672009101115094,23.10216757265837,33.79196247662568,55.36644049070734,28.19012022166657,194.0,55.27065527065527,17460.0,55.27065527065527,459.3052955488364,14.675167367391026,134312.495169065,53.50143556828874,9.7,6.317436188834836,873.0,568.5692569951351,22.96526477744182,32.43373912464718,6715.624758453249,4348.906764023605
sort-acc-11,55.41741943825364,26.902839675528277,55.41741943825364,26.902839675528277,22.574433858000482,34.46744546798521,53.67362408010875,27.54967085086213,187.0,53.27635327635328,16830.0,53.27635327635328,448.2395524926564,12.966725186941785,128978.8276908333,51.376846440746306,9.35,6.043798474469512,841.5,543.9418627022561,22.41197762463282,33.59562154400595,6448.941384541666,4149.762328092743
sort-adp-7,59.36281816765584,27.539141151249634,59.36281816765584,27.539141151249634,24.138707414441832,34.84100420157217,58.00697858993673,27.91714734950264,202.0,57.54985754985755,18180.0,57.54985754985755,491.18804384001896,11.405716561642835,141152.73149963582,56.22614456019043,10.1,6.3,909.0,567.0,24.55940219200095,34.888597783009025,7057.636574981791,4322.566981583263
sort-adp-8,61.459969358701414,26.82493490748052,61.459969358701414,26.82493490748052,23.64452658364293,36.34494995609392,57.97619730528481,29.123301763628696,210.0,59.82905982905983,18900.0,59.82905982905983,473.8369760803784,13.560085395955573,144872.23458395072,57.70775469900167,10.5,6.232976816898969,945.0,560.9679135209071,23.69184880401892,36.467394423384704,7243.611729197536,4609.752457838427
sort-adp-9,56.69897446591303,26.110473015050584,56.69897446591303,26.110473015050584,24.1057493672972,37.870826716570924,130.56946086436824,328.0122423236422,194.0,55.27065527065527,17460.0,55.27065527065527,475.07701286123506,17.88279896347019,258941.18872756287,0.7790193909188157,9.7,6.042350536008318,873.0,543.8115482407486,23.753850643061753,38.4049853263864,12947.059436378144,26798.64948100201
sort-adp-10,58.01244570114456,27.558903400229944,58.01244570114456,27.558903400229944,21.740179134147862,33.87880144414027,55.834949480059734,28.01190977593864,197.0,56.12535612535613,17730.0,56.12535612535613,420.91555532930306,17.208464111258913,134158.24611862004,53.43999269491002,9.85,6.271164166245371,886.5,564.4047749620834,21.045777766465154,32.2456702326267,6707.912305931002,4130.945868685295
sort-adp-11,56.00353102333137,27.42069532232969,56.00353102333137,27.42069532232969,23.23380323705756,35.36779255936638,53.16285251478369,27.865462116134733,190.0,54.13105413105413,17100.0,54.13105413105413,462.8836891060431,15.153773287304249,128457.85418466266,51.16932419616222,9.5,6.192737682156414,855.0,557.3463913940773,23.144184455302156,34.835871531375375,6422.892709233133,4247.565687984463
idm-tracker-7,43.18816371353806,27.801285677926465,43.18816371353806,27.801285677926465,22.929895061207958,33.28177217441706,46.24671691590301,27.809273643739367,138.0,39.31623931623932,12420.0,39.31623931623932,459.8265194220076,3.670244589405994,106563.80452138295,42.448146870743415,6.9,4.846648326421054,621.0,436.19834937789483,22.99132597110038,31.75279341738297,5328.190226069148,3298.4632696764047
idm-tracker-8,41.80802038005445,25.50790104592107,41.80802038005445,25.50790104592107,20.19663785370951,31.985978776801243,44.979182210765536,25.90151091433128,136.0,38.74643874643875,12240.0,38.74643874643875,393.7857117924277,4.380854542831597,104715.90849374626,41.71206427369945,6.8,4.6,612.0,414.0,19.689285589621385,29.143967376554766,5235.795424687313,3048.766570336062
