1,23,473.5,10.0,29.0,54.0,-1,-1,-1,-1
1,24,680.0,271.0,46.0,34.0,-1,-1,-1,-1
1,76,212.5,345.5,39.0,45.0,-1,-1,-1,-1
1,82,79.0,476.0,44.0,42.0,-1,-1,-1,-1
1,87,883.0,453.5,40.0,45.0,-1,-1,-1,-1
1,88,855.5,413.5,41.0,45.0,-1,-1,-1,-1
1,89,831.0,376.5,42.0,45.0,-1,-1,-1,-1
1,90,766.0,304.0,42.0,44.0,-1,-1,-1,-1
1,91,709.5,256.5,45.0,39.0,-1,-1,-1,-1
1,117,865.0,496.0,42.0,44.0,-1,-1,-1,-1
1,118,755.0,438.5,40.0,45.0,-1,-1,-1,-1
1,119,631.0,254.5,44.0,27.0,-1,-1,-1,-1
1,120,269.5,376.5,45.0,41.0,-1,-1,-1,-1
1,135,104.5,497.0,45.0,40.0,-1,-1,-1,-1
1,136,200.0,406.0,42.0,44.0,-1,-1,-1,-1
1,137,502.0,326.0,42.0,24.0,-1,-1,-1,-1
1,138,626.5,333.5,55.0,39.0,-1,-1,-1,-1
1,140,430.0,69.0,26.0,44.0,-1,-1,-1,-1
1,142,490.0,221.5,44.0,43.0,-1,-1,-1,-1
1,143,538.5,234.5,45.0,39.0,-1,-1,-1,-1
1,145,710.5,387.0,45.0,40.0,-1,-1,-1,-1
1,147,746.5,369.5,107.0,91.0,-1,-1,-1,-1
1,148,818.0,473.5,42.0,45.0,-1,-1,-1,-1
1,149,852.5,455.0,37.0,46.0,-1,-1,-1,-1
1,150,890.0,514.5,110.0,83.0,-1,-1,-1,-1
1,171,509.0,182.5,56.0,45.0,-1,-1,-1,-1
1,172,459.5,83.5,41.0,45.0,-1,-1,-1,-1
1,181,685.5,481.0,55.0,36.0,-1,-1,-1,-1
1,197,571.0,226.0,42.0,22.0,-1,-1,-1,-1
2,23,473.5,10.0,29.0,54.0,-1,-1,-1,-1
2,24,680.0,271.0,46.0,34.0,-1,-1,-1,-1
2,76,212.5,345.5,39.0,45.0,-1,-1,-1,-1
2,82,79.0,476.0,44.0,42.0,-1,-1,-1,-1
2,87,883.0,453.5,40.0,45.0,-1,-1,-1,-1
2,88,855.5,413.5,41.0,45.0,-1,-1,-1,-1
2,89,831.0,376.5,42.0,45.0,-1,-1,-1,-1
2,90,761.0,298.0,42.0,44.0,-1,-1,-1,-1
